"event","team","time","description","event_no","period_id","desc","on_ice_situation","shot_type","shot_result","penalty_type","penalty_called","penalty_length","penalty","score","first_player","first_number","second_player","second_number","third_player","third_number","minute_start","second_start","clock","offensive_player_one","offensive_number_one","offensive_player_two","offensive_number_two","offensive_player_three","offensive_number_three","offensive_player_four","offensive_number_four","offensive_player_five","offensive_number_five","leader","away_goals","home_goals","sec_from_start","power_play_seconds","start_power_play","end_power_play","away_team","home_team","goalie_change","away_goalie","home_goalie","goalie_involved","time_elapsed","time_remaining","game_id"
"Giveaway","ConnecticutCTW","00:13","#24 Sarah Hughson giveaway to #4 Marie-Jo Pelletier1 GvA1 TkA",3,1,"24 Sarah Hughson   4 Marie-Jo Pelletier","Even Strength",NA,NA,NA,NA,NA,0,"0 - 0 T","Sarah Hughson",24,"Marie-Jo Pelletier",4,NA,NA,0,13,"19:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",13,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"00:13","19:47",268078
"Giveaway","BuffaloBUF","00:17","#4 Marie-Jo Pelletier giveaway to #6 Shannon Doyle1 GvA1 TkA",4,1,"4 Marie-Jo Pelletier   6 Shannon Doyle","Even Strength",NA,NA,NA,NA,NA,0,"0 - 0 T","Marie-Jo Pelletier",4,"Shannon Doyle",6,NA,NA,0,17,"19:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",17,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"00:17","19:43",268078
"Shot","BuffaloBUF","00:49","#22 Becki Bowering saved by #31 Sonjia Shelly",5,1,"22 Becki Bowering   31 Sonjia Shelly","Even Strength",NA,"saved",NA,NA,NA,0,"0 - 0 T","Becki Bowering",22,"Sonjia Shelly",31,NA,NA,0,49,"19:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",49,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","00:49","19:11",268078
"Shot BLK","BuffaloBUF","01:36","#19 Ashley Birdsall blocked by #21 Sarah Schwenzfeier1 Blk",6,1,"19 Ashley Birdsall   21 Sarah Schwenzfeier","Even Strength",NA,"blocked",NA,NA,NA,0,"0 - 0 T","Ashley Birdsall",19,"Sarah Schwenzfeier",21,NA,NA,1,36,"18:24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",96,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","01:36","18:24",268078
"Faceoff","BuffaloBUF","02:01","#88 Sara Bustad faceoff won against #16 Hanna Beattie",7,1,"88 Sara Bustad   16 Hanna Beattie","Even Strength",NA,NA,NA,NA,NA,0,"0 - 0 T","Sara Bustad",88,"Hanna Beattie",16,NA,NA,2,1,"17:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",121,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:01","17:59",268078
"Faceoff","BuffaloBUF","02:34","#22 Becki Bowering faceoff won against #16 Hanna Beattie",8,1,"22 Becki Bowering   16 Hanna Beattie","Even Strength",NA,NA,NA,NA,NA,0,"0 - 0 T","Becki Bowering",22,"Hanna Beattie",16,NA,NA,2,34,"17:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",154,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:34","17:26",268078
"Giveaway","ConnecticutCTW","02:58","#8 Erin Hall giveaway to #23 Corinne Buie1 GvA1 TkA",9,1,"8 Erin Hall   23 Corinne Buie","Even Strength",NA,NA,NA,NA,NA,0,"0 - 0 T","Erin Hall",8,"Corinne Buie",23,NA,NA,2,58,"17:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",178,NA,NA,NA,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"02:58","17:02",268078
"Penalty","ConnecticutCTW","04:03","#26 Jordan Brickner Holding against #8 Iveta KlimasovaMinor 2 minsPower Play",10,1,"26 Jordan Brickner   8 Iveta Klimasova","Power Play",NA,NA,"Minor","Holding","2 mins",1,"0 - 0 T","Jordan Brickner",26,"Iveta Klimasova",8,NA,NA,4,3,"15:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",243,120,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"04:03","15:57",268078
"Shot BLK","BuffaloBUF","04:06","#95 Taylor Accursi blocked by #14 Elena Orlando1 Blk",11,1,"95 Taylor Accursi   14 Elena Orlo","Power Play",NA,"blocked",NA,NA,NA,0,"0 - 0 T","Taylor Accursi",95,"Elena Orlo",14,NA,NA,4,6,"15:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",246,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly","Sonjia Shelly","04:06","15:54",268078
"Faceoff","BuffaloBUF","04:14","#22 Becki Bowering faceoff won against #21 Sarah Schwenzfeier",12,1,"22 Becki Bowering   21 Sarah Schwenzfeier","Power Play",NA,NA,NA,NA,NA,0,"0 - 0 T","Becki Bowering",22,"Sarah Schwenzfeier",21,NA,NA,4,14,"15:46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T","0","0",254,NA,243,363,"BUF","CTW",NA,"Mariah Fujimagari","Sonjia Shelly",NA,"04:14","15:46",268078
