"game_id","home_team","away_team","period_id","event_no","description","time_remaining","on_ice_situation","home_goals","away_goals","leader","team","event","first_player","first_number","second_player","second_number","third_player","third_number","shot_type","shot_result","goalie_involved","penalty","penalty_length","penalty_type","penalty_called","offensive_player_one","offensive_player_two","offensive_player_three","offensive_player_four","offensive_player_five","home_goalie","away_goalie"
268078,"CTW","BUF",1,3,"#24 Sarah Hughson giveaway to #4 Marie-Jo Pelletier1 GvA1 TkA","19:47","Even Strength","0","0","T","ConnecticutCTW","Giveaway","Sarah Hughson",24,"Marie-Jo Pelletier",4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,4,"#4 Marie-Jo Pelletier giveaway to #6 Shannon Doyle1 GvA1 TkA","19:43","Even Strength","0","0","T","BuffaloBUF","Giveaway","Marie-Jo Pelletier",4,"Shannon Doyle",6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,5,"#22 Becki Bowering saved by #31 Sonjia Shelly","19:11","Even Strength","0","0","T","BuffaloBUF","Shot","Becki Bowering",22,"Sonjia Shelly",31,NA,NA,NA,"saved","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,6,"#19 Ashley Birdsall blocked by #21 Sarah Schwenzfeier1 Blk","18:24","Even Strength","0","0","T","BuffaloBUF","Shot BLK","Ashley Birdsall",19,"Sarah Schwenzfeier",21,NA,NA,NA,"blocked","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,7,"#88 Sara Bustad faceoff won against #16 Hanna Beattie","17:59","Even Strength","0","0","T","BuffaloBUF","Faceoff","Sara Bustad",88,"Hanna Beattie",16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,8,"#22 Becki Bowering faceoff won against #16 Hanna Beattie","17:26","Even Strength","0","0","T","BuffaloBUF","Faceoff","Becki Bowering",22,"Hanna Beattie",16,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,9,"#8 Erin Hall giveaway to #23 Corinne Buie1 GvA1 TkA","17:02","Even Strength","0","0","T","ConnecticutCTW","Giveaway","Erin Hall",8,"Corinne Buie",23,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,10,"#26 Jordan Brickner Holding against #8 Iveta KlimasovaMinor 2 minsPower Play","15:57","Power Play","0","0","T","ConnecticutCTW","Penalty","Jordan Brickner",26,"Iveta Klimasova",8,NA,NA,NA,NA,NA,1,"2 mins","Minor","Holding",NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,11,"#95 Taylor Accursi blocked by #14 Elena Orlando1 Blk","15:54","Power Play","0","0","T","BuffaloBUF","Shot BLK","Taylor Accursi",95,"Elena Orlo",14,NA,NA,NA,"blocked","Sonjia Shelly",0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
268078,"CTW","BUF",1,12,"#22 Becki Bowering faceoff won against #21 Sarah Schwenzfeier","15:46","Power Play","0","0","T","BuffaloBUF","Faceoff","Becki Bowering",22,"Sarah Schwenzfeier",21,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sonjia Shelly","Mariah Fujimagari"
